       120         81         84        316
        29        120         81         84
       120        140        255        316
       120         29         81         23
       120        255        256        316
        81        120         23        143
        81        120        143        316
       143        120        256        316
       326        137        209        338
       137        326        209        192
       317         81        342        192
       158         36        342        360
        36        158        342        192
        81         36        342        192
       158         72        209        192
        72        137        209        192
        36         72        158        192
        72         36         81        192
       143        304        317        257
       304        143        317        192
       317        143         81        192
         6         72         36         81
        23          6         17          0
        23          6         72         17
         6         23         72         81
       117         23        143         81
       143        117         81        192
       117         72         81        192
        23        117         72         81
       117        143        304        192
       117         23         72         17
       117        304        326        192
        72        117         17        137
        72        117        137        192
       137        117        326        192
       367        131        199        380
       131        367        199        178
       209         72        158        178
       156         36        158        360
        36        156        158        178
        72         36        158        178
       156         67        199        178
        67        131        199        178
        36         67        156        178
        67         36         72        178
       137        353        209        338
       353        137        209        178
       209        137         72        178
         6         67         36         72
        17          6         18          0
        17          6         67         18
         6         17         67         72
       105         17        137         72
       137        105         72        178
       105         67         72        178
        17        105         67         72
       105        137        353        178
       105         17         67         18
       105        353        367        178
        67        105         18        131
        67        105        131        178
       131        105        367        178
       225        134        200        249
       134        225        200        175
       199         67        156        175
       157         36        156        360
        36        157        156        175
        67         36        156        175
       157         69        200        175
        69        134        200        175
        36         69        157        175
        69         36         67        175
       131        224        199        380
       224        131        199        175
       199        131         67        175
         6         69         36         67
        18          6         26          0
        18          6         69         26
         6         18         69         67
       100         18        131         67
       131        100         67        175
       100         69         67        175
        18        100         69         67
       100        131        224        175
       100         18         69         26
       100        224        225        175
        69        100         26        134
        69        100        134        175
       134        100        225        175
       242        142        391        397
       142        242        391        180
       200         69        157        180
       377         36        157        360
        36        377        157        180
        69         36        157        180
       377         77        391        180
        77        142        391        180
        36         77        377        180
        77         36         69        180
       134        233        200        249
       233        134        200        180
       200        134         69        180
         6         77         36         69
        26          6         30          0
        26          6         77         30
         6         26         77         69
       114         26        134         69
       134        114         69        180
       114         77         69        180
        26        114         77         69
       114        134        233        180
       114         26         77         30
       114        233        242        180
        77        114         30        142
        77        114        142        180
       142        114        242        180
       387        141        373        379
       141        387        373        383
       391         77        377        383
       366         36        377        360
        36        366        377        383
        77         36        377        383
       366         82        373        383
        82        141        373        383
        36         82        366        383
        82         36         77        383
       142        393        391        397
       393        142        391        383
       391        142         77        383
         6         82         36         77
        30          6         27          0
        30          6         82         27
         6         30         82         77
       119         30        142         77
       142        119         77        383
       119         82         77        383
        30        119         82         77
       119        142        393        383
       119         30         82         27
       119        393        387        383
        82        119         27        141
        82        119        141        383
       141        119        387        383
       351        135        347        337
       135        351        347        359
       373         82        366        359
       352         36        366        360
        36        352        366        359
        82         36        366        359
       352         75        347        359
        75        135        347        359
        36         75        352        359
        75         36         82        359
       141        365        373        379
       365        141        373        359
       373        141         82        359
         6         75         36         82
        27          6         21          0
        27          6         75         21
         6         27         75         82
       106         27        141         82
       141        106         82        359
       106         75         82        359
        27        106         75         82
       106        141        365        359
       106         27         75         21
       106        365        351        359
        75        106         21        135
        75        106        135        359
       135        106        351        359
       227        142        207        397
       142        227        207        179
       202         79        160        179
       162         35        160        147
        35        162        160        179
