
#####################
#### grain 13

#    orientation:
#
#    q = [7.438407e-01, 6.324508e-01, 2.031810e-01, -7.365114e-02]
#
#    R = [[9.066e-01, 3.666e-01, 2.091e-01],
#         [1.474e-01, 1.892e-01, -9.708e-01],
#         [-3.954e-01, 9.110e-01, 1.174e-01]]
#
#    left stretch tensor:
#
#    V = [[9.979e-01, -1.731e-04, -1.581e-04],
#         [-1.731e-04, 9.965e-01, -3.919e-04],
#         [-1.581e-04, -3.919e-04, 9.970e-01]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[-2.129e-03, -1.736e-04, -1.585e-04],
#         [-1.736e-04, -3.517e-03, -3.932e-04],
#         [-1.585e-04, -3.932e-04, -2.986e-03]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-2.180e-03, 9.938e-05, 2.243e-04],
#         [9.938e-05, -3.155e-03, 5.201e-04],
#         [2.243e-04, 5.201e-04, -3.297e-03]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[9.085e-01, 3.675e-01, 2.094e-01],
#         [1.480e-01, 1.903e-01, -9.742e-01],
#         [-3.964e-01, 9.138e-01, 1.174e-01]]
#
#    lattice parameters:
#
#    2.94437, 2.94197, 4.67008, 89.9613, 89.9743, 120.016
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (-0.307693, 0.0102187, -0.402477)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	2662	4	1	-2	0	7.3712e+00	-1.7520e+02	1.5314e+02	7.3729e+00	-1.7514e+02	1.5327e+02	1.7311e-03	5.9897e-02	1.2170e-01	5.8311e-01	-5.6770e-02	-3.4423e-01	1.0680e+03	3.7953e+02	1.5327e+02
	1281	4	1	1	0	7.3740e+00	7.5231e+00	8.5365e+01	7.3741e+00	7.4866e+00	8.5267e+01	1.2825e-04	3.6522e-02	9.8176e-02	1.0774e-02	8.8815e-02	6.7386e-01	9.2881e+02	1.6639e+03	8.5267e+01
	2510	4	-1	2	0	7.3712e+00	4.8024e+00	1.4575e+02	7.3734e+00	4.8652e+00	1.4576e+02	2.2095e-03	6.2811e-02	1.8674e-02	-5.8311e-01	5.6770e-02	3.4423e-01	9.5826e+02	1.6688e+03	1.4576e+02
	118	4	2	-1	0	7.3763e+00	2.7068e+00	2.5339e+01	7.3730e+00	2.7679e+00	2.5264e+01	3.2823e-03	6.1163e-02	7.5245e-02	5.9388e-01	3.2045e-02	3.2962e-01	9.8193e+02	1.6680e+03	2.5264e+01
	752	5	-1	0	3	8.1715e+00	-1.1568e+02	5.8935e+01	8.1674e+00	-1.1562e+02	5.9264e+01	4.1258e-03	5.4184e-02	3.2935e-01	-2.1394e-01	-6.7707e-01	-2.5114e-01	1.6602e+03	7.1113e+02	5.9264e+01
	2297	5	0	-1	3	8.1697e+00	-1.1416e+02	1.3477e+02	8.1676e+00	-1.1414e+02	1.3476e+02	2.0635e-03	1.8881e-02	4.3191e-03	1.7839e-01	-6.8531e-01	-2.5601e-01	1.6682e+03	7.2963e+02	1.3476e+02
	2039	5	0	-1	-3	8.1624e+00	1.2838e+02	1.2223e+02	8.1664e+00	1.2841e+02	1.2227e+02	3.9205e-03	2.7133e-02	4.0127e-02	2.0316e-01	5.8825e-01	-4.2272e-01	4.5134e+02	5.7738e+02	1.2227e+02
	1021	5	-1	0	-3	8.1637e+00	1.2737e+02	7.2349e+01	8.1660e+00	1.2739e+02	7.2266e+01	2.2888e-03	1.6738e-02	8.2303e-02	-1.8917e-01	5.9649e-01	-4.1785e-01	4.4358e+02	5.8637e+02	7.2266e+01
	1766	5	0	1	3	8.1624e+00	-5.1618e+01	1.0911e+02	8.1661e+00	-5.1591e+01	1.0927e+02	3.6456e-03	2.6699e-02	1.5313e-01	-2.0316e-01	-5.8825e-01	4.2272e-01	1.5760e+03	1.4687e+03	1.0927e+02
	741	5	1	0	3	8.1637e+00	-5.2631e+01	5.8937e+01	8.1664e+00	-5.2620e+01	5.8769e+01	2.7072e-03	1.1767e-02	1.6819e-01	1.8917e-01	-5.9649e-01	4.1785e-01	1.5838e+03	1.4575e+03	5.8769e+01
	-999	5	1	0	-3	8.1715e+00	6.4323e+01	4.0212e+01	nan       	nan       	nan       	4.0623e-03	5.7376e-02	5.2985e-01	2.1394e-01	6.7707e-01	2.5114e-01	nan       	nan       	nan
