Orientation: O[row][col]

Sp_ID O[0][0] O[0][1] O[0][2] O[1][0] O[1][1] O[1][2] O[2][0] O[2][1] O[2][2] X Y Z a b c alpha beta gamma Err1 Err2 Err3 MeanRadius Confidence 
6126 0.032162 -0.403287 0.914508 0.496639 0.800479 0.335535 -0.867361 0.443389 0.226033 -283.817026 312.915240 8.405863 3.613212 3.614921 3.614606 90.008766 90.051516 89.970854 35.084217 0.030304 0.029278 106.229957 1.000000 
6129 0.027622 -0.958186 0.284810 0.515791 -0.230398 -0.825153 0.856269 0.169695 0.487859 -326.716750 -265.343568 -126.245189 3.614398 3.607919 3.616345 89.789304 90.155341 90.114136 147.445990 0.238542 0.216499 101.330334 0.750000 
6132 -0.201282 0.786196 -0.584279 -0.936033 -0.330161 -0.121800 -0.288665 0.522389 0.802361 142.507637 234.695850 12.548051 3.614900 3.614734 3.613661 90.029815 90.019468 90.021019 43.069500 0.068592 0.057145 290.071328 1.000000 
6133 -0.206677 0.381796 -0.900842 -0.963127 0.082705 0.256019 0.172251 0.920539 0.350625 297.782345 363.748691 185.947131 3.610027 3.604155 3.604155 90.031059 89.730008 90.174928 92.251151 0.078404 0.095769 67.267219 0.750000 
6134 -0.206978 0.190912 -0.959538 -0.961611 0.140925 0.235464 0.180176 0.971438 0.154415 -39.331666 -158.452961 12.588177 3.613628 3.613735 3.610232 89.959442 90.123879 90.026963 16.396112 0.033631 0.034516 107.683656 0.750000 
6137 0.081067 -0.120042 0.989453 0.766991 0.641482 0.014985 -0.636516 0.757688 0.144074 -150.427593 196.840193 49.474870 3.615956 3.614677 3.607956 90.075067 90.142618 89.992788 46.590396 0.087678 0.070059 290.489571 0.750000 
6141 -0.211056 0.647953 -0.731855 -0.972892 -0.211664 0.093169 -0.094538 0.731680 0.675061 164.938458 35.630191 200.000000 3.611908 3.607475 3.607088 90.246292 90.190070 90.141245 147.538124 0.072120 0.116421 154.471216 0.750000 
6147 0.113440 -0.003582 0.993538 0.956278 0.271705 -0.108206 -0.269562 0.962374 0.034248 440.702490 52.641673 16.361242 3.612928 3.614980 3.614320 90.034267 90.093952 89.998259 41.865764 0.060324 0.042993 155.717820 0.916667 
6150 -0.206121 -0.257715 -0.943979 -0.918004 0.384936 0.095358 0.338797 0.886232 -0.315927 38.653989 -377.208257 25.916598 3.615034 3.611736 3.611842 89.958079 90.111663 90.006075 52.323156 0.132905 0.109501 249.183184 1.000000 
6154 0.105775 0.201071 0.973849 0.894009 0.409567 -0.181667 -0.435384 0.889846 -0.136438 61.964167 -168.839608 -29.008132 3.612608 3.613656 3.615729 90.022442 90.035471 90.106284 58.637519 0.076963 0.073326 173.580308 0.750000 
